InputID,TargetID
H054p,H064p
H054p,H106p
H057p,H016p
H057p,H018p
H057p,H019p
H057p,H024p
H057p,H048p
H057p,H053p
H057p,H054p
H057p,H060p
H057p,H103p
H057p,H106p
H060p,H018p
H060p,H048p
H060p,H053p
H060p,H054p
H060p,H057p
H060p,H103p
H060p,H106p
H060p,H108p
H060p,H109p
H060p,H113p
H063p,H019p
H063p,H024p
H063p,H028p
H063p,H032p
H063p,H054p
H063p,H064p
H063p,H066p
H063p,H106p
H063p,H115p
H063p,H116p
H064p,H024p
H064p,H054p
H064p,H063p
H064p,H066p
H064p,H106p
H064p,H113p
H064p,H114p
H064p,H115p
H064p,H116p
H064p,H117p
H065p,H028p
H065p,H032p
H065p,H035p
H065p,H039p
H065p,H063p
H065p,H066p
H065p,H068p
H065p,H069p
H065p,H072p
H065p,H116p
H066p,H024p
H066p,H028p
H066p,H032p
H066p,H063p
H066p,H064p
H066p,H065p
H066p,H068p
H066p,H115p
H066p,H116p
H066p,H117p
H068p,H032p
H068p,H035p
H068p,H036p
H068p,H039p
H068p,H040p
H068p,H065p
H068p,H066p
H068p,H069p
H068p,H071p
H068p,H072p
H069p,H012p
H069p,H014p
H069p,H035p
H069p,H036p
H069p,H039p
H069p,H040p
H069p,H041p
H069p,H068p
H069p,H071p
H069p,H072p
H071p,H039p
H071p,H040p
H071p,H041p
H071p,H068p
H071p,H069p
H071p,H072p
H071p,H118p
H071p,H119p
H071p,I153p
H071p,I184p
H072p,H035p
H072p,H039p
H072p,H040p
H072p,H065p
H072p,H068p
H072p,H069p
H072p,H071p
H072p,H116p
H072p,H118p
H072p,H119p
H075p,H076p
H075p,H077p
H075p,H079p
H075p,H080p
H075p,H081a
H075p,N001a
H075p,N001p
H075p,N003p
H075p,N004p
H075p,N005p
H076p,H042p
H076p,H075p
H076p,H077p
H076p,H079p
H076p,H080p
H076p,H081a
H076p,H081p
H076p,H082p
H076p,N005p
H076p,N006p
H077p,H075p
H077p,H076p
H077p,H079p
H077p,H080p
H077p,H081a
H077p,H081p
H077p,H082p
H077p,N004p
H077p,N005p
H077p,N006p
H079p,H075p
H079p,H076p
H079p,H077p
H079p,H080p
H079p,N001a
H079p,N004p
H079p,N005p
H079p,N006p
H079p,N008p
H079p,N009p
H080p,H075p
H080p,H076p
H080p,H077p
H080p,H079p
H080p,H081a
H080p,H081p
H080p,H082p
H080p,N004p
H080p,N005p
H080p,N006p
H081a,H042p
H081a,H075p
H081a,H076p
H081a,H077p
H081a,H079p
H081a,H080p
H081a,H081p
H081a,H082p
H081a,H087p
H081a,N006p
H081p,H042p
H081p,H076p
H081p,H077p
H081p,H079p
H081p,H080p
H081p,H081a
H081p,H082p
H081p,H087p
H081p,N006p
H081p,N013p
H082p,H076p
H082p,H080p
H082p,H081a
H082p,H081p
H082p,H087p
H082p,N006p
H082p,N011p
H082p,N012p
H082p,N013p
H082p,N014p
H084p,H042p
H084p,H043p
H084p,H049p
H084p,H051p
H084p,H087p
H084p,H088p
H084p,H091p
H084p,H100p
H084p,N014p
H084p,N015p
H087p,H042p
H087p,H082p
H087p,H084p
H087p,H088p
H087p,N010a
H087p,N012p
H087p,N013p
H087p,N014p
H087p,N015p
H087p,N016p
H088p,H042p
H088p,H043p
H088p,H084p
H088p,H087p
H088p,H100p
H088p,N013p
H088p,N014p
H088p,N015p
H088p,N016p
H088p,N022p
H091p,H043p
H091p,H045p
H091p,H046p
H091p,H049p
H091p,H050p
H091p,H051p
H091p,H084p
H091p,H092p
H091p,H100p
H091p,N020p
H092p,H045p
H092p,H046p
H092p,H048p
H092p,H050p
H092p,H051p
H092p,H091p
H092p,H100p
H092p,H101p
H092p,H108p
H092p,N020p
H100p,H051p
H100p,H084p
H100p,H088p
H100p,H091p
H100p,H092p
H100p,N014p
H100p,N015p
H100p,N016p
H100p,N020p
H100p,N022p
H101p,H091p
H101p,H092p
H101p,H100p
H101p,H103p
H101p,H108p
H101p,H109p
H101p,N020p
H101p,N025p
H101p,N029p
H101p,N065p
H103p,H048p
H103p,H053p
H103p,H057p
H103p,H060p
H103p,H101p
H103p,H106p
H103p,H108p
H103p,H109p
H103p,H113p
H103p,N029a
H106p,H054p
H106p,H057p
H106p,H060p
H106p,H063p
H106p,H064p
H106p,H103p
H106p,H109p
H106p,H113p
H106p,H114p
H106p,H115p
H108p,H048p
H108p,H050p
H108p,H060p
H108p,H091p
H108p,H092p
H108p,H101p
H108p,H103p
H108p,H109p
H108p,N029a
H108p,N029p
H109p,H057p
H109p,H060p
H109p,H101p
H109p,H103p
H109p,H106p
H109p,H108p
H109p,H113p
H109p,H114p
H109p,N029a
H109p,N029p
H113p,H060p
H113p,H064p
H113p,H103p
H113p,H106p
H113p,H109p
H113p,H114p
H113p,H115p
H113p,N029a
H113p,N032p
H113p,N036p
H114p,H063p
H114p,H064p
H114p,H106p
H114p,H113p
H114p,H115p
H114p,H116p
H114p,H117p
H114p,N032p
H114p,N033p
H114p,N036p
H115p,H063p
H115p,H064p
H115p,H066p
H115p,H106p
H115p,H113p
H115p,H114p
H115p,H116p
H115p,H117p
H115p,N032p
H115p,N033p
H116p,H063p
H116p,H064p
H116p,H065p
H116p,H066p
H116p,H072p
H116p,H114p
H116p,H115p
H116p,H117p
H116p,N033p
H116p,N035p
H117p,H064p
H117p,H066p
H117p,H114p
H117p,H115p
